Match_SK,match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
197,501226,Mumbai Indians,Chennai Super Kings,22-04-11,2011,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Mumbai Indians,field,runs,Result,Harbhajan Singh,8,1
198,501227,Kolkata Knight Riders,Royal Challengers Bangalore,22-04-11,2011,Eden Gardens,Kolkata,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,9,1
199,501228,Delhi Daredevils,Kings XI Punjab,23-04-11,2011,Feroz Shah Kotla,Delhi,India,Kings XI Punjab,Delhi Daredevils,field,runs,Result,DA Warner,29,1
200,501229,Deccan Chargers,Mumbai Indians,24-04-11,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Mumbai Indians,field,runs,Result,SL Malinga,37,1
201,501230,Rajasthan Royals,Kochi Tuskers Kerala,24-04-11,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,SK Warne,8,1
202,501231,Chennai Super Kings,Pune Warriors,25-04-11,2011,"MA Chidambaram Stadium, Chepauk",Chennai,India,Pune Warriors,Chennai Super Kings,field,runs,Result,MEK Hussey,25,1
203,501232,Delhi Daredevils,Royal Challengers Bangalore,26-04-11,2011,Feroz Shah Kotla,Delhi,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,V Kohli,3,1
204,501233,Pune Warriors,Chennai Super Kings,27-04-11,2011,Dr DY Patil Sports Academy,Mumbai,India,Pune Warriors,Chennai Super Kings,bat,wickets,Result,DE Bollinger,8,1
205,501234,Kochi Tuskers Kerala,Deccan Chargers,27-04-11,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Deccan Chargers,field,runs,Result,I Sharma,55,1
206,501235,Delhi Daredevils,Kolkata Knight Riders,28-04-11,2011,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Kolkata Knight Riders,field,runs,Result,MK Tiwary,17,1
207,501236,Rajasthan Royals,Mumbai Indians,29-04-11,2011,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Rajasthan Royals,field,wickets,Result,J Botha,7,1
208,501237,Royal Challengers Bangalore,Pune Warriors,29-04-11,2011,M Chinnaswamy Stadium,Bangalore,India,Pune Warriors,Royal Challengers Bangalore,field,runs,Result,V Kohli,26,1
